Nb_Ring,Ring,Earlywood,Latewood,E/L_ratio,Nb_FRing,Num_FRing,FRing,lumen_area,Equivalent_Diameter,2P_thickness,Tile_ID,Image
,,,,,,,,147,13.68087033,0,Image_4,PB1
,,,,,,,,162,14.36192209,0,Image_5,PB1
,,,,,,,,46.32228,7.679801996,NA,Image_5,PB1
,,,,,,,,52,8.13685789,NA,Image_5,PB1
,,,,,,,,4.904712,2.498974444,NA,Image_5,PB1
,,,,,,,,60,8.740387445,NA,Image_5,PB1
,,,,,,,,56,8.444016491,5.35555E-01,Image_5,PB1
,,,,,,,,137.876904,13.24954061,5.396351965,Image_5,PB1
,,,,,,,,132,12.96408963,0,Image_5,PB1
,,,,,,,,82.835136,10.26980871,NA,Image_5,PB1
,,,,,,,,53.679348,8.267204401,2.955690127,Image_5,PB1
,,,,,,,,187,15.43035304,8.516387796,Image_5,PB1
,,,,,,,,7.357068,3.060606135,4.912478131,Image_5,PB1
,,,,,,,,86,10.46415791,2.929408692,Image_5,PB1
,,,,,,,,38.14776,6.96930675,8.31116E-01,Image_5,PB1
,,,,,,,,168,14.62546558,0,Image_5,PB1
,,,,,,,,114,12.04779267,2.751865855,Image_5,PB1
,,,,,,,,10.354392,3.630925689,0,Image_5,PB1
,,,,,,,,361,21.43920417,NA,Image_5,PB1
,,,,,,,,5.177196,2.567452176,8.158556144,Image_5,PB1
,,,,,,,,34,6.579524642,9.563055329,Image_5,PB1
,,,,,,,,25.88598,5.740997595,9.291579942,Image_5,PB1
,,,,,,,,38.14776,6.96930675,0,Image_5,PB1
,,,,,,,,181,15.1807891,0,Image_5,PB1
,,,,,,,,16.34904,4.562482246,NA,Image_6,PB1
,,,,,,,,30,6.180387232,NA,Image_6,PB1
,,,,,,,,22.888656,5.398401795,4.290429171,Image_6,PB1
,,,,,,,,14,4.222008246,NA,Image_6,PB1
,,,,,,,,269,18.50679436,NA,Image_6,PB1
,,,,,,,,34.0605,6.585375882,NA,Image_6,PB1
,,,,,,,,32.425596,6.425383342,0,Image_6,PB1
,,,,,,,,108,11.72646029,0,Image_6,PB1
,,,,,,,,212,16.42944867,0,Image_6,PB1
,,,,,,,,177,15.01210843,1.797850641,Image_6,PB1
,,,,,,,,77.930424,9.961129332,0,Image_6,PB1
,,,,,,,,301,19.57664688,NA,Image_6,PB1
,,,,,,,,44.414892,7.520026388,2.305089737,Image_6,PB1
,,,,,,,,31.880628,6.371159728,4.11475E-01,Image_6,PB1
,,,,,,,,206,16.19528778,0,Image_6,PB1
,,,,,,,,239,17.44431859,0,Image_6,PB1
,,,,,,,,51.226992,8.076152052,0,Image_6,PB1
,,,,,,,,214,16.50676415,2.404754827,Image_6,PB1
,,,,,,,,199,15.917747,0,Image_6,PB1
,,,,,,,,147,13.68087033,0,Image_6,PB1
,,,,,,,,114,12.04779267,6.21779E-01,Image_6,PB1
,,,,,,,,33.243048,6.505871448,0,Image_6,PB1
,,,,,,,,57.766608,8.576172204,0,Image_6,PB1
,,,,,,,,189,15.51264884,0,Image_6,PB1
,,,,,,,,316,20.05850683,0,Image_7,PB1
,,,,,,,,82,10.21790794,0,Image_7,PB1
,,,,,,,,34.0605,6.585375882,0,Image_7,PB1
,,,,,,,,127,12.71618741,1.084213791,Image_7,PB1
,,,,,,,,55.85922,8.433395985,9.7125E-01,Image_7,PB1
,,,,,,,,38.420244,6.994152842,0,Image_7,PB1
,,,,,,,,103,11.45179781,1.469538444,Image_7,PB1
,,,,,,,,137,13.20733954,5.760731449,Image_7,PB1
,,,,,,,,1.907388,1.558384365,5.757417023,Image_7,PB1
,,,,,,,,44.687376,7.543058682,7.013676564,Image_7,PB1
,,,,,,,,16.076556,4.524301807,NA,Image_7,PB1
,,,,,,,,65,9.097283683,NA,Image_7,PB1
,,,,,,,,146.868876,13.6747673,0,Image_7,PB1
,,,,,,,,89.91972,10.69996932,1.099342843,Image_7,PB1
,,,,,,,,48.502152,7.858425919,0,Image_7,PB1
,,,,,,,,66.486096,9.200691637,9.019932172,Image_7,PB1
,,,,,,,,95,10.99807968,0,Image_7,PB1
,,,,,,,,63,8.956231982,1.186040969,Image_7,PB1
,,,,,,,,45.504828,7.611737416,0,Image_7,PB1
,,,,,,,,134,13.0619332,0,Image_7,PB1
,,,,,,,,5.177196,2.567452176,8.902019322,Image_7,PB1
,,,,,,,,7.902036,3.171937061,5.077759153,Image_7,PB1
,,,,,,,,151,13.86575534,1.637082642,Image_7,PB1
,,,,,,,,48,7.81764019,4.874839827,Image_7,PB1
,,,,,,,,35.42292,6.715792026,9.32367E-01,Image_7,PB1
,,,,,,,,34.0605,6.585375882,1.957722712,Image_7,PB1
,,,,,,,,54.4968,8.329914815,6.350034823,Image_7,PB1
,,,,,,,,31.33566,6.31647065,0,Image_7,PB1
,,,,,,,,125,12.61566261,0,Image_7,PB1
,,,,,,,,148,13.72732504,0,Image_7,PB1
,,,,,,,,142,13.44618962,0,Image_8,PB1
,,,,,,,,47.412216,7.769627296,3.3007E-01,Image_8,PB1
,,,,,,,,41.690052,7.285699886,0,Image_8,PB1
,,,,,,,,185,15.34761596,0,Image_8,PB1
