Tile_ID,File_ID,Centroid_X,Centroid_Y,Aire,Diamètre_équivalent
Image_9,7,420.0912162162162,517.1148648648649,296.0,19.413369239820483
Image_9,7,443.7894736842105,520.0956937799043,209.0,16.312788383647018
Image_9,7,465.2020202020202,517.9023569023569,297.0,19.44613444328572
Image_9,7,491.8315789473684,520.7684210526315,190.0,15.553633450087505
Image_9,7,512.0,519.0,,
Image_9,7,519.2083333333334,517.5520833333334,96.0,11.055812783082736
Image_9,7,517.3905967450271,523.4388185654008,,
Image_9,7,519.2083333333334,517.5520833333334,96.0,11.055812783082736
Image_9,7,516.7008928571429,525.8035714285714,224.0,16.88803298257901
Image_9,7,537.6987951807229,525.8795180722891,166.0,14.538148590038452
Image_9,7,568.8275862068965,524.9080459770115,87.0,10.524820207108489
Image_9,7,555.7333333333333,524.148717948718,195.0,15.756957549709801
Image_9,7,554.2127659574468,529.8510638297872,47.0,7.735777827895049
Image_9,7,556.7741935483871,521.7225806451613,155.0,14.048207338801282
Image_9,7,566.5029239766081,524.3695906432748,,
Image_9,7,601.1121076233184,525.762331838565,223.0,16.85029431422316
Image_9,7,577.3060109289618,524.6666666666666,183.0,15.26443044094783
Image_9,7,580.7058823529412,530.4117647058823,17.0,4.652426491681278
Image_9,7,621.972972972973,522.5729729729729,185.0,15.347615963921077
Image_9,7,636.6785714285714,521.3928571428571,84.0,10.341765891652821
Image_9,7,339.69444444444446,508.02777777777777,36.0,6.770275002573076
Image_9,7,324.0,506.0,,
Image_9,7,327.6969696969697,503.69696969696963,,
Image_9,7,53.708333333333336,521.5625,48.0,7.817640190446719
Image_9,7,256.3710407239819,531.8552036199095,221.0,16.774562271083887
Image_9,7,266.57142857142856,534.4155844155844,77.0,9.901487006738307
Image_9,7,279.7653846153846,533.55,260.0,18.19456736586892
Image_9,7,235.3254901960784,530.7176470588236,255.0,18.01877032173579
Image_9,7,257.4936386768448,533.6895674300255,393.0,22.36924542940416
Image_9,7,223.7659574468085,541.4255319148937,47.0,7.735777827895049
Image_9,7,299.69325153374234,535.5030674846626,163.0,14.406180819073164
Image_9,7,322.6612377850163,537.7459283387623,307.0,19.77080019204319
Image_9,7,348.85769230769233,539.5,260.0,18.19456736586892
Image_9,7,373.8582089552239,539.776119402985,268.0,18.47236308621676
Image_9,7,396.1151832460733,540.7120418848167,191.0,15.594510349620345
Image_9,7,414.7427385892116,539.402489626556,241.0,17.517155313611116
Image_9,7,435.20454545454544,541.7045454545455,308.0,19.802974013476614
Image_9,7,456.7676767676768,540.2979797979798,198.0,15.877702285203682
Image_9,7,479.248031496063,537.7992125984252,254.0,17.983404693292407
Image_9,7,502.7060606060606,542.9212121212121,330.0,20.49802550887777
Image_9,7,522.709090909091,541.0,55.0,8.368283871884005
Image_9,7,527.5953177257525,546.4648829431438,299.0,19.511499785403828
Image_9,7,477.88461538461536,547.6153846153846,26.0,5.753627391751592
Image_9,7,559.4545454545455,540.9272727272727,55.0,8.368283871884005
Image_9,7,551.8137651821862,545.6032388663967,247.0,17.733870630789692
Image_9,7,585.5896103896104,549.2207792207793,385.0,22.140398025397776
Image_9,7,616.4389312977099,550.0687022900763,262.0,18.26441241104166
Image_9,7,636.5529411764705,548.8470588235294,85.0,10.403141895720198
Image_9,7,223.9418604651163,542.953488372093,86.0,10.464157913908982
Image_9,7,161.0,543.0,,
Image_9,7,52.685064935064936,539.0097402597403,308.0,19.802974013476614
Image_9,7,26.11290322580645,539.7459677419355,248.0,17.769732893161912
Image_9,7,3.568,540.48,125.0,12.6156626101008
Image_9,7,3.1354166666666665,539.1875,96.0,11.055812783082736
Image_9,7,4.495689655172414,537.7155172413793,232.0,17.186959427966244
Image_9,7,4.495689655172414,537.7155172413793,232.0,17.186959427966244
Image_9,7,144.44324324324324,551.8162162162162,185.0,15.347615963921077
Image_9,7,162.03930131004367,551.5764192139738,229.0,17.075475271404667
Image_9,7,129.23214285714286,552.7142857142857,112.0,11.941642642883693
