Image_ID,IoU,Precision,Recall,F1_Score,Num_Masks,Num_Masks_Label
X200_BOU1500AT(2).jpg_imagette_11_12.jpg,0.632064163684845,0.8659132719039917,0.7006393671035767,0.7745580077171326,1,186895
X200_BOU1500AT(2).jpg_imagette_11_9.jpg,0.6447561979293823,0.9132449626922607,0.686823844909668,0.7840142846107483,1,206312
X200_BOU1500AT(2).jpg_imagette_14_5.jpg,0.6539608240127563,0.9459589123725891,0.6793408393859863,0.7907814979553223,1,214689
X200_BOU1500AT(2).jpg_imagette_19_7.jpg,0.8245391249656677,0.9366490840911865,0.8732380867004395,0.903832733631134,1,176086
X200_BOU1500AT(2).jpg_imagette_1_9.jpg,0.6334714889526367,0.9931797981262207,0.6362391710281372,0.7756137847900391,1,281982
X200_BOU1500AT(2).jpg_imagette_21_12.jpg,0.7567189931869507,0.9288103580474854,0.8033106923103333,0.8615140318870544,1,209142
X200_BOU1500AT(2).jpg_imagette_22_10.jpg,0.6239547729492188,0.9598901867866516,0.6406583189964294,0.7684385776519775,1,200333
X200_BOU1500AT(2).jpg_imagette_22_11.jpg,0.5882238745689392,0.96601802110672,0.6006526947021484,0.7407317161560059,1,216949
X200_BOU1500AT(2).jpg_imagette_22_12.jpg,0.7626814842224121,0.956903338432312,0.7898110151290894,0.8653650879859924,1,221415
X200_BOU1500AT(2).jpg_imagette_22_16.jpg,0.6953033208847046,0.9166735410690308,0.7422139644622803,0.8202701210975647,1,178974
X200_BOU1500AT(2).jpg_imagette_22_17.jpg,0.5622530579566956,0.8499395251274109,0.6242180466651917,0.719797670841217,1,149789
X200_BOU1500AT(2).jpg_imagette_22_20.jpg,0.7066389918327332,0.9617971777915955,0.7270456552505493,0.8281059861183167,1,225774
X200_BOU1500AT(2).jpg_imagette_22_21.jpg,0.7463748455047607,0.9646262526512146,0.7673782110214233,0.8547704815864563,1,240330
X200_BOU1500AT(2).jpg_imagette_22_24.jpg,0.6658785343170166,0.9525413513183594,0.688727855682373,0.7994322776794434,1,197496
X200_BOU1500AT(2).jpg_imagette_22_25.jpg,0.7502602338790894,0.957517683506012,0.7760940194129944,0.857312798500061,1,220079
X200_BOU1500AT(2).jpg_imagette_25_13.jpg,0.8977158665657043,0.9504040479660034,0.9418376088142395,0.9461014270782471,1,231765
X200_BOU1500AT(2).jpg_imagette_2_6.jpg,0.585258960723877,0.9665006399154663,0.5973769426345825,0.7383764386177063,1,212119
X200_BOU1501DT(4).jpg_imagette_1_7.jpg,0.6070075035095215,0.9576812982559204,0.6237379908561707,0.7554507255554199,1,186705
X200_BOU1501DT(4).jpg_imagette_1_8.jpg,0.6520354151725769,0.9834073781967163,0.6592885851860046,0.7893722057342529,1,202447
X200_BOU1501DT(4).jpg_imagette_1_9.jpg,0.6185680031776428,0.7813382148742676,0.7480652928352356,0.764339804649353,1,163205
X200_BOU1501DT(4).jpg_imagette_2_0.jpg,0.6209614276885986,0.9667814373970032,0.634499192237854,0.7661643028259277,1,165540
X200_BOU1501DT(4).jpg_imagette_2_1.jpg,0.587188720703125,0.9772601127624512,0.5953227877616882,0.7399104237556458,1,141923
X200_BOU1501DT(4).jpg_imagette_2_2.jpg,0.709033191204071,0.9655702114105225,0.727424144744873,0.8297476768493652,1,121867
X200_BOU1504AT1(1).jpg_imagette_2_1.jpg,0.7231850624084473,0.906392514705658,0.781557023525238,0.8393585681915283,1,240525
X200_BOU1504AT1(1).jpg_imagette_3_8.jpg,0.7634868621826172,0.8464371562004089,0.8862438797950745,0.8658832311630249,1,292248
X200_BOU1504AT1(2).jpg_imagette_16_13.jpg,0.8447446227073669,0.880603015422821,0.9540125727653503,0.9158390760421753,1,259984
X200_BOU1504AT1(2).jpg_imagette_16_15.jpg,0.7967066764831543,0.8334840536117554,0.9475223422050476,0.8868522644042969,1,245152
X200_BOU1504AT1(2).jpg_imagette_16_16.jpg,0.8225713968276978,0.8471423387527466,0.9659402370452881,0.9026492834091187,1,261599
X200_BOU1504AT1(2).jpg_imagette_16_6.jpg,0.8480193614959717,0.8931724429130554,0.94374018907547,0.9177602529525757,1,255582
X200_BOU1504AT1(2).jpg_imagette_30_4.jpg,0.8119063973426819,0.8460214734077454,0.9526839852333069,0.8961902260780334,1,251881
X200_ECH1XS1(2).jpg_imagette_5_4.jpg,0.4250425696372986,0.468216210603714,0.8217330574989319,0.5965331196784973,1,83863
X200_ECH1XS1(2).jpg_imagette_6_2.jpg,0.0141464127227664,0.01441405713558197,0.4324178099632263,0.027898166328668594,1,7391
X200_ECH1XS1(2).jpg_imagette_9_12.jpg,0.651939332485199,0.9122611284255981,0.6955516934394836,0.7893018126487732,1,215094
X200_ECH1XS1(2).jpg_imagette_9_13.jpg,0.5734071135520935,0.7499944567680359,0.7089088559150696,0.7288731336593628,1,190978
X200_ECH1XS1(2).jpg_imagette_9_14.jpg,0.5569689273834229,0.7916200757026672,0.6526563167572021,0.7154528498649597,1,207299
X200_ECH3XS1.jpg_imagette_1_15.jpg,0.032121915370225906,0.034242406487464905,0.3415486514568329,0.06224441900849342,1,32622
X200_ECH3XS1.jpg_imagette_20_15.jpg,0.2210625857114792,0.35902005434036255,0.36519724130630493,0.362082302570343,1,167096
X200_ECH3XS1.jpg_imagette_8_1.jpg,0.0060993074439466,0.006377526093274355,0.12266288697719574,0.012124663218855858,1,10590
X200_ECH8XS1(2).jpg_imagette_0_16.jpg,0.21739152073860168,0.2691716253757477,0.5305339694023132,0.3571431338787079,1,84447
X200_ECH8XS1(2).jpg_imagette_0_17.jpg,0.6510070562362671,0.9356401562690735,0.6815263628959656,0.7886181473731995,1,167747
X200_ECH8XS1(2).jpg_imagette_0_3.jpg,0.48609665036201477,0.9156630635261536,0.5088801383972168,0.6541925072669983,1,152250
X200_ECH8XS1(2).jpg_imagette_19_2.jpg,0.07935495674610138,0.08070037513971329,0.8263841867446899,0.147041454911232,1,35544
X200_ECH8XS1(2).jpg_imagette_1_10.jpg,0.5573235750198364,0.9254606366157532,0.5835167765617371,0.7157453894615173,1,192135
X200_ECH8XS1(2).jpg_imagette_1_17.jpg,0.6060023307800293,0.9688093066215515,0.6180607676506042,0.7546717524528503,1,163581
X200_ECH8XS1(2).jpg_imagette_1_18.jpg,0.5887769460678101,0.9036595225334167,0.6282098889350891,0.7411700487136841,1,171812
