Image_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
Image_0,14,586.5273159144893,560.7648456057007,421,23.152404806704283
Image_0,151,585.406162464986,81.47899159663865,357,21.320096563347295
Image_0,33,585.392523364486,534.5560747663551,214,16.50676414605009
Image_0,167,584.560606060606,57.07070707070707,198,15.877702285203682
Image_0,24,584.5435684647302,511.7759336099585,241,17.517155313611116
Image_0,194,584.4808126410835,305.60496613995485,443,23.74963406702674
Image_0,222,582.7065217391304,275.92028985507244,276,18.746042631630413
Image_0,168,580.7011494252873,37.26819923371647,261,18.229523339239496
Image_0,489,579.9963768115942,487.89130434782606,276,18.746042631630413
Image_0,203,579.5384615384615,251.60164835164835,364,21.528102431092233
Image_0,34,579.0181818181818,463.8242424242424,165,14.494292838262302
Image_0,239,578.5388127853881,421.23744292237444,219,16.698486766680407
Image_0,38,577.930735930736,442.72294372294374,231,17.14987856615383
Image_0,157,577.0786516853933,12.24438202247191,356,21.290215544369623
Image_0,199,576.5121107266436,226.13840830449826,289,19.182445840623714
Image_0,37,574.9651162790698,622.0930232558139,172,14.798554040663838
Image_0,175,573.0872483221476,198.248322147651,298,19.47884453275087
Image_0,36,571.7149532710281,603.5233644859813,214,16.50676414605009
Image_0,180,571.5324675324675,171.74545454545455,385,22.140398025397776
Image_0,243,569.5747126436781,401.23754789272033,261,18.229523339239496
Image_0,481,568.9667673716012,142.01208459214502,331,20.529059630371258
Image_0,237,563.7077464788732,329.19718309859155,284,19.015783725757565
Image_0,228,560.79,302.44666666666666,300,19.544100476116796
Image_0,153,560.5448113207547,62.6438679245283,424,23.23474912642073
Image_0,213,559.2418300653595,275.2712418300654,306,19.738573927438622
Image_0,238,558.6244897959184,448.49387755102043,245,17.66192765414112
Image_0,231,556.5897435897435,469.9871794871795,234,17.26088217525478
Image_0,161,555.58,33.63666666666666,300,19.544100476116796
Image_0,196,555.4343065693431,248.08029197080293,274,18.677998695187732
Image_0,29,554.3855932203389,633.2161016949152,236,17.334489682638438
Image_0,191,553.9849137931035,214.57327586206895,464,24.306031118985995
Image_0,186,553.488188976378,207.00787401574803,127,12.716187407449045
Image_0,158,552.6174242424242,9.132575757575758,264,18.333991376950163
Image_0,227,552.3172043010753,422.55645161290323,372,21.76338922689847
Image_0,35,550.7463768115942,611.0869565217391,276,18.746042631630413
Image_0,172,550.0255102040817,182.94897959183675,196,15.797308339337176
Image_0,173,549.0841584158416,157.40594059405942,202,16.03728119216293
Image_0,236,547.814371257485,391.83233532934133,334,20.62188177498708
Image_0,500,545.620320855615,342.0748663101604,187,15.430353037616328
Image_0,220,545.0,293.5,2,1.5957691216057308
Image_0,220,543.0,292.0,1,1.1283791670955126
Image_0,220,543.0,294.0,1,1.1283791670955126
Image_0,494,540.9330708661417,287.68503937007875,254,17.983404693292407
Image_0,475,540.8181818181819,102.1969696969697,330,20.49802550887777
Image_0,220,540.0,292.0,3,1.9544100476116797
Image_0,498,539.953560371517,545.6377708978329,323,20.279456919490165
Image_0,220,539.0,295.0,3,1.9544100476116797
Image_0,477,538.7682539682539,72.6920634920635,315,20.026743534373637
Image_0,17,536.8412698412699,503.6137566137566,189,15.512648837479231
Image_0,208,536.4658385093168,238.1055900621118,161,14.317526556719258
Image_0,1,534.7283236994219,480.5751445086705,346,20.98906578384008
Image_0,201,534.2270531400966,194.58937198067633,207,16.23454913941803
Image_0,162,533.9463087248322,43.84228187919463,298,19.47884453275087
Image_0,13,533.2388392857143,453.24776785714283,448,23.883285285767386
Image_0,210,533.0352112676056,217.31690140845072,142,13.446189622059965
Image_0,185,532.2372093023256,171.73023255813953,215,16.545286401814263
Image_0,155,529.4330218068536,12.504672897196262,321,20.216574731145414
Image_0,7,528.925925925926,621.8456790123457,324,20.310825007719227
Image_0,479,528.3295019157088,145.32183908045977,261,18.229523339239496
Image_0,235,527.8080808080808,425.3703703703704,297,19.44613444328572
Image_0,232,526.6776556776557,375.3113553113553,273,18.643883600599406
Image_0,240,526.263959390863,399.5406091370558,394,22.397686948112614
Image_0,226,525.5456919060052,350.2924281984334,383,22.082815618339236
Image_0,20,525.3004115226338,597.9588477366256,243,17.58969042850512
Image_0,219,523.7768052516411,322.16192560175057,457,24.121991458915023
Image_0,27,522.4020979020979,575.2307692307693,286,19.08262324195121
Image_0,220,517.1662921348315,291.99775280898876,445,23.803184606416586
Image_0,195,517.1403887688984,291.8941684665227,463,24.279825147895533
Image_0,217,515.471615720524,258.98908296943233,458,24.148368712786887
Image_0,32,512.5346260387812,493.29639889196676,361,21.43920417481474
Image_0,164,511.45454545454544,199.22459893048128,374,21.821814538001895
Image_0,171,510.28915662650604,174.4578313253012,332,20.56004690782767
Image_0,177,510.14084507042253,11.654929577464788,142,13.446189622059965
Image_0,22,508.235632183908,464.5258620689655,348,21.049640414216977
Image_0,174,506.80906148867314,148.33656957928804,309,19.83509564693766
Image_0,11,506.53846153846155,437.3692307692308,260,18.19456736586892
Image_0,241,505.3185840707965,412.93510324483776,339,20.775663783985824
Image_0,178,503.04,119.37894736842105,475,24.592453796829673
Image_0,150,501.7142857142857,87.24330357142857,448,23.883285285767386
Image_0,484,501.01246882793015,361.81047381546136,401,22.595775212167435
Image_0,486,498.31891891891894,331.7477477477477,555,26.582850624566497
Image_0,212,498.09200968523004,333.27602905569006,413,22.93137440223813
Image_0,169,497.66212534059946,59.18528610354223,367,21.616635097022034
Image_0,472,494.68215158924204,30.097799511002446,409,22.820056393372074
Image_0,242,493.1624203821656,305.359872611465,314,19.994929783493642
Image_0,480,492.52595155709344,282.56747404844293,289,19.182445840623714
Image_0,211,490.2625,261.1791666666667,240,17.480774889473267
Image_0,204,489.296875,238.30859375,256,18.0540666735282
Image_0,31,488.44412607449857,569.974212034384,349,21.079862454783044
