Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,Centroid_Y_inverted
Image_2,380,472.99305555555554,291.2986111111111,144,13.540550005146152,344.3230105105106
Image_2,542,457.58988764044943,288.69101123595505,178,15.054455784347004,346.9306103856666
Image_2,716,441.6071428571428,285.0515873015873,252,17.91246396432554,350.5700343200344
Image_2,771,407.3157894736842,308.20137299771164,437,23.58825303088947,327.42024862391
Image_2,721,390.72151898734177,309.8101265822785,79,10.02925341359355,325.8114950393432
Image_2,316,372.3858267716536,306.8267716535433,127,12.716187407449045,328.7948499680784
Image_2,310,303.59518072289154,284.9349397590361,415,22.98683125324351,350.68668186258554
Image_2,694,250.3606557377049,272.21311475409834,61,8.812923024107548,363.40850686752333
Image_2,693,225.5717213114754,296.3422131147541,488,24.92671052968601,339.2794085068676
Image_2,649,189.66666666666663,293.45893719806764,207,16.23454913941803,342.162684423554
