Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter
Image_0,623,366.734375,320.046875,128,12.766152972845846
Image_0,577,315.05925925925925,310.25925925925924,135,13.110581167104948
Image_0,575,298.7655172413793,306.2413793103448,145,13.58748446131949
Image_0,573,264.94202898550725,319.85990338164254,207,16.23454913941803
Image_0,939,242.37219730941703,331.2242152466368,223,16.85029431422316
Image_0,512,222.0636363636364,314.05454545454546,110,11.834540545406394
Image_0,517,210.6578947368421,323.8618421052632,152,13.911592676604096
Image_0,519,193.31063829787237,337.45106382978724,235,17.297725082009
Image_0,1005,171.10526315789474,323.57894736842104,19,4.918490759365935
Image_0,447,152.95625,333.0875,160,14.27299292922217
Image_0,445,132.69849246231155,338.4321608040201,199,15.91774699517169
Image_0,889,116.3360655737705,322.1967213114754,122,12.463355264843006
Image_0,884,104.40555555555557,315.96666666666664,180,15.13879513212096
Image_0,353,86.90666666666667,341.58666666666664,75,9.772050238058398
Image_0,344,73.4798206278027,337.70403587443946,223,16.85029431422316
Image_0,351,56.02564102564103,332.38461538461536,78,9.965574970333758
Image_0,349,23.86315789473684,329.5157894736842,95,10.998079684646791
Image_0,350,8.707070707070708,332.1515151515151,99,11.227230955528665
Image_1,999,634.9230769230769,355.11538461538464,26,5.753627391751592
Image_1,794,612.8118811881188,326.38613861386136,101,11.340070282773889
Image_1,252,602.7162162162163,338.0135135135135,74,9.70668461991024
Image_1,796,590.3793103448276,335.26724137931035,116,12.153015559492998
Image_1,250,574.043795620438,337.4963503649635,137,13.207339536360733
Image_1,691,517.2514619883041,333.17543859649123,171,14.755472278097804
Image_1,678,479.3346938775511,309.46938775510205,245,17.66192765414112
Image_1,606,462.6397058823529,311.84558823529414,136,13.159049284959082
Image_1,787,438.3482142857143,304.2857142857143,224,16.88803298257901
Image_1,608,426.3768115942029,309.1449275362319,69,9.373021315815206
Image_1,604,406.021897810219,297.0656934306569,137,13.207339536360733
Image_1,562,378.96638655462186,281.8655462184874,119,12.309163489997376
Image_1,560,363.494623655914,294.6989247311828,93,10.881694613449236
Image_1,563,353.2741935483871,295.53225806451616,62,8.884866446580956
Image_1,901,339.9185185185185,274.4925925925926,270,18.5411616971131
Image_1,913,309.9253731343284,287.0497512437811,201,15.99753570059363
Image_1,905,292.89230769230767,285.46153846153845,195,15.7569575497098
Image_1,519,262.3310810810811,279.1621621621622,148,13.727325035155395
Image_1,474,251.8,251.7333333333333,15,4.370193722368317
Image_1,910,232.11111111111111,254.74747474747477,99,11.227230955528665
Image_1,480,210.6090534979424,266.2633744855967,243,17.58969042850512
Image_1,849,194.7333333333333,256.03809523809525,105,11.562445770562215
Image_1,477,177.95940959409594,255.58671586715863,271,18.575465448360347
Image_1,850,155.12345679012347,248.89300411522635,243,17.58969042850512
